alue	puolue	value
Alajärvi	kok	16.0
Alavieska	kok	3.4
Alavus	kok	14.8
Asikkala	kok	19.3
Askola	kok	24.9
Aura	kok	28.0
Akaa	kok	23.0
Enonkoski	kok	0.0
Enontekiö	kok	19.3
Espoo	kok	33.7
Eura	kok	12.8
Eurajoki	kok	19.5
Evijärvi	kok	12.8
Forssa	kok	21.0
Haapajärvi	kok	6.4
Haapavesi	kok	5.2
Hailuoto	kok	7.0
Halsua	kok	0.0
Hamina	kok	21.5
Hankasalmi	kok	6.1
Hanko	kok	7.8
Harjavalta	kok	20.9
Hartola	kok	28.5
Hattula	kok	26.5
Hausjärvi	kok	22.6
Heinävesi	kok	14.3
Helsinki	kok	28.4
Vantaa	kok	24.3
Hirvensalmi	kok	14.2
Hollola	kok	27.1
Honkajoki	kok	4.2
Huittinen	kok	22.0
Humppila	kok	21.4
Hyrynsalmi	kok	0.0
Hyvinkää	kok	24.1
Hämeenkyrö	kok	20.0
Hämeenlinna	kok	27.6
Heinola	kok	22.8
Ii	kok	10.9
Iisalmi	kok	15.0
Iitti	kok	13.8
Ikaalinen	kok	18.3
Ilmajoki	kok	21.8
Ilomantsi	kok	5.9
Inari	kok	36.1
Inkoo	kok	16.9
Isojoki	kok	23.7
Isokyrö	kok	21.1
Imatra	kok	27.5
Janakkala	kok	15.3
Joensuu	kok	15.8
Jokioinen	kok	10.4
Joroinen	kok	5.1
Joutsa	kok	21.4
Juuka	kok	4.9
Juupajoki	kok	22.1
Juva	kok	12.9
Jyväskylä	kok	17.4
Jämijärvi	kok	1.9
Jämsä	kok	12.8
Järvenpää	kok	20.1
Kaarina	kok	28.6
Kaavi	kok	11.0
Kajaani	kok	15.0
Kalajoki	kok	12.1
Kangasala	kok	25.8
Kangasniemi	kok	8.3
Kankaanpää	kok	12.0
Kannonkoski	kok	13.8
Kannus	kok	5.0
Karijoki	kok	21.8
Karkkila	kok	16.1
Karstula	kok	14.4
Karvia	kok	14.0
Kaskinen	kok	11.3
Kauhajoki	kok	18.1
Kauhava	kok	20.3
Kauniainen	kok	34.2
Kaustinen	kok	0.0
Keitele	kok	5.5
Kemi	kok	10.7
Keminmaa	kok	4.7
Kempele	kok	14.2
Kerava	kok	23.9
Keuruu	kok	11.8
Kihniö	kok	5.1
Kinnula	kok	14.8
Kirkkonummi	kok	24.6
Kitee	kok	14.3
Kittilä	kok	6.1
Kiuruvesi	kok	19.1
Kivijärvi	kok	12.9
Kokemäki	kok	14.9
Kokkola	kok	11.3
Kolari	kok	2.1
Konnevesi	kok	5.4
Kontiolahti	kok	16.2
Korsnäs	kok	0.0
Koski Tl	kok	22.5
Kotka	kok	24.0
Kouvola	kok	21.7
Kristiinankaupunki	kok	16.3
Kruunupyy	kok	0.4
Kuhmo	kok	7.2
Kuhmoinen	kok	40.6
Kuopio	kok	20.1
Kuortane	kok	25.0
Kurikka	kok	21.9
Kustavi	kok	42.4
Kuusamo	kok	11.7
Outokumpu	kok	8.1
Kyyjärvi	kok	14.2
Kärkölä	kok	11.4
Kärsämäki	kok	10.4
Kemijärvi	kok	9.4
Kemiönsaari	kok	3.1
Lahti	kok	23.5
Laihia	kok	22.5
Laitila	kok	13.0
Lapinlahti	kok	6.1
Lappajärvi	kok	6.0
Lappeenranta	kok	19.4
Lapinjärvi	kok	11.4
Lapua	kok	30.3
Laukaa	kok	12.3
Lemi	kok	23.0
Lempäälä	kok	28.6
Leppävirta	kok	10.4
Lestijärvi	kok	0.0
Lieksa	kok	8.2
Lieto	kok	26.6
Liminka	kok	9.2
Liperi	kok	10.7
Loimaa	kok	23.6
Loppi	kok	26.0
Loviisa	kok	9.7
Luhanka	kok	31.0
Lumijoki	kok	7.4
Luoto	kok	0.0
Luumäki	kok	25.4
Lohja	kok	18.5
Parainen	kok	11.7
Maalahti	kok	0.1
Marttila	kok	31.1
Masku	kok	26.4
Merijärvi	kok	0.0
Merikarvia	kok	12.4
Miehikkälä	kok	25.8
Mikkeli	kok	21.9
Muhos	kok	6.4
Multia	kok	5.3
Muonio	kok	19.0
Mustasaari	kok	1.6
Muurame	kok	17.2
Mynämäki	kok	21.1
Myrskylä	kok	18.1
Mäntsälä	kok	20.6
Mäntyharju	kok	19.8
